assignment_id,code_version,n_reference,n_selected,is_ranked,response_time_s
7,birds-1,8,2,1,63.128
7,birds-1,8,2,1,14.939
7,birds-1,8,2,1,17.103
7,birds-1,8,2,1,23.624
7,birds-1,8,2,1,15.813
7,birds-1,8,2,1,14.194
7,birds-1,8,2,1,17.169
7,birds-1,8,2,1,20.246
7,birds-1,8,2,1,23.84
7,birds-1,8,2,1,18.541
7,birds-1,8,2,1,21.699
7,birds-1,8,2,1,25.643
7,birds-1,8,2,1,24.421
7,birds-1,8,2,1,34.465
7,birds-1,8,2,1,28.094
7,birds-1,8,2,1,30.877
7,birds-1,8,2,1,18.98
7,birds-1,8,2,1,73.837
7,birds-1,8,2,1,61.767
7,birds-1,8,2,1,14.62
7,birds-1,8,2,1,17.592
7,birds-1,8,2,1,13.128
7,birds-1,8,2,1,12.559
7,birds-1,8,2,1,17.391
7,birds-1,8,2,1,10.664
7,birds-1,8,2,1,13.553
7,birds-1,8,2,1,10.395
10,birds-1,8,2,1,30.265
10,birds-1,8,2,1,14.135
10,birds-1,8,2,1,22.959
10,birds-1,8,2,1,10.504
10,birds-1,8,2,1,20.667
10,birds-1,8,2,1,21.895
10,birds-1,8,2,1,13.924
10,birds-1,8,2,1,13.474
10,birds-1,8,2,1,9.223
10,birds-1,8,2,1,10.66
10,birds-1,8,2,1,13.685
10,birds-1,8,2,1,13.197
10,birds-1,8,2,1,13.307
10,birds-1,8,2,1,17.552
10,birds-1,8,2,1,8.574
10,birds-1,8,2,1,15.186
10,birds-1,8,2,1,7.833
10,birds-1,8,2,1,6.897
10,birds-1,8,2,1,7.47
10,birds-1,8,2,1,15.357
10,birds-1,8,2,1,7.48
10,birds-1,8,2,1,18.8
10,birds-1,8,2,1,9.869
10,birds-1,8,2,1,8.206
10,birds-1,8,2,1,7.219
10,birds-1,8,2,1,8.072
10,birds-1,8,2,1,14.818
11,birds-1,8,2,1,299.028
11,birds-1,8,2,1,5.287
11,birds-1,8,2,1,13.305
11,birds-1,8,2,1,19.043
11,birds-1,8,2,1,10.385
11,birds-1,8,2,1,10.892
11,birds-1,8,2,1,7.1
11,birds-1,8,2,1,15.047
11,birds-1,8,2,1,12.258
11,birds-1,8,2,1,9.446
11,birds-1,8,2,1,10.649
11,birds-1,8,2,1,11.763
11,birds-1,8,2,1,11.934
11,birds-1,8,2,1,12.518
11,birds-1,8,2,1,10.695
11,birds-1,8,2,1,11.111
11,birds-1,8,2,1,12.311
11,birds-1,8,2,1,14.877
11,birds-1,8,2,1,12.741
11,birds-1,8,2,1,10.266
11,birds-1,8,2,1,9.066
11,birds-1,8,2,1,6.749
11,birds-1,8,2,1,6.716
11,birds-1,8,2,1,14.882
11,birds-1,8,2,1,8.352
11,birds-1,8,2,1,5.761
11,birds-1,8,2,1,10.264
12,birds-1,8,2,1,4.534
12,birds-1,8,2,1,9.581
12,birds-1,8,2,1,2.648
12,birds-1,8,2,1,7.295
12,birds-1,8,2,1,9.87
